time,P,G(i),H_sun,T2m,WS10m,Int
20230123:1011,57.36,80.53,14.96,2.19,2.69,0
20230123:1111,552.25,633.48,17.66,2.58,2.62,0
20230123:1211,574.63,662.46,18.04,2.84,2.41,0
20230123:1311,262.25,304.13,16.09,3.05,2.55,0
20230123:1411,394.53,451.89,11.98,3.16,2.76,0
20230123:1511,41.69,62.61,6.09,3.1,2.83,0
20230123:1611,0,0,0,2.9,2.28,0
20230123:1711,0,0,0,2.67,1.86,0
20230123:1811,0,0,0,2.48,1.93,0
20230123:1911,0,0,0,2.55,2.21,0
20230123:2011,0,0,0,2.52,2.28,0
20230123:2111,0,0,0,2.42,2.14,0
20230123:2211,0,0,0,2.19,2.07,0
20230123:2311,0,0,0,2.2,2.21,0
20230124:0011,0,0,0,2.02,2.41,0
20230124:0111,0,0,0,1.68,2.21,0
20230124:0211,0,0,0,1.49,1.93,0
20230124:0311,0,0,0,1.21,2,0
20230124:0411,0,0,0,1.01,2.14,0
